181,187
181,187,216
181,187,215
511,518,525,571
511,518,527,616
511,518,527,614
511,518,527,612
511,518,527,619
511,518,527,613
511,518,527,615
511,518,532,643
511,518,532,644
511,518,528,604
511,518,528,608
511,518,528,605
511,518,528,602
511,518,528,606
511,518,529,610
511,518,529,611
511,518,531,622
511,513
511,513,521
511,513,520
511,513,519
511,513,521,570
511,513,521,568
511,513,521,569
511,513,521,567
511,513,520,542
511,513,7086,541
511,513,7085,540
511,513,7082,546
511,513,7083,545
511,513,7084,548
511,513,519,543
511,513,519,544
181,191,7037,308
181,183,230,429
181,183,229,428
181,183,232,422
181,183,241,417
181,183,233,372
181,183,240,316
181,183,243,430
181,183,231,389
181,183,239,326
181,183,238,309
181,183,236,368
181,188,219,367
181,188,220,311
181,188,222,365
181,188,224,375
181,185,245,396
181,185,244,393
181,185,245,405
4291,4292
4291,4294
4291,4296
4291,4293
4291,4292,4298
4291,4292,4299
4291,4292,4300
4291,4292,4298,4327
4291,4292,4299,4320
4291,4292,4300,4323
4291,4294,4311
4291,4294,4311,4340
4291,4294,4310
4291,4294,4310,4333
4291,4294,4309
4291,4294,4309,4330
4291,4296,4319
4291,4296,4316
4291,4296,4318
4291,4296,4317
4291,4296,4317,4336
4291,4296,4318,4341
4291,4296,4316,4344
4291,4296,4319,4338
4291,4293,4302
4291,4293,4305
4291,4293,4306
4291,4293,4307
4291,4293,4301
4291,4293,4301,4324
4291,4293,4307,4337
4291,4293,4306,4332
4291,4293,4305,4329
4291,4293,4302,4342
4291,4292
4291,4294
4291,4296
4291,4745
4291,4292,4298
4291,4292,4299
4291,4292,4300
4291,4292,4298,4327
4291,4292,4299,4320
4291,4292,4300,4323
4291,4294,4311
4291,4294,4310
4291,4294,4309
4291,4294,4309,4330
4291,4294,4310,4333
4291,4294,4311,4340
4291,4296,4319
4291,4296,4316
4291,4296,4807
4291,4296,4809
4291,4296,4317
4291,4296,4317,4336
4291,4296,4809,4810
4291,4296,4807,4808
4291,4296,4316,4344
4291,4296,4319,4338
4291,4296,4805
4291,4296,4805,4806
4291,4296,4811
4291,4296,4811,4820
4291,4756
4291,4756,4757
4291,4756,4758
4291,4756,4764
4291,4756,4760
4291,4756,4759
4291,4756,4761
4291,4756,4762
4291,4756,4762,4766
4291,4756,4763
4291,4756,4761,4770
4291,4756,4759,4765
4291,4756,4760,4769
4291,4756,4764,4772
4291,4756,4758,4767
4291,4756,4757,4768
181,183,237
181,183,237,411
4291,4745,4749
4291,4745,4748
4291,4745,4747
4291,4745,4746
4291,4745,4746,4753
4291,4745,4747,4752
4291,4745,4747,4751
4291,4745,4747,4750
4291,4745,4749,4755
4291,4745,4748,4754
4291,4294,4308
4291,4294,4308,4331
4291,4294,4308
4291,4294,4308,4331
4291,4293,4303
4291,4293,4303,4325
4291,4293,4304
4291,4293,4304,4339
181,191,227
181,183,242
181,183,242,426
181,185,245,403
511,518,526,586
181,191,235
181,191,235,376
181,187,216,270
3587,'3654'
987,988
987,988,1011
987,988,1011,1071
987,988,1011,1072
987,988,1011,1073
987,988,1013
987,988,1013,1115
987,988,1010
3587,'3588'
3587,7188,4850
3587,7188,4850,4851
3587,3588,4143
3587,3588,4143,4144
3587,3588,4143,4146
3587,7188,3598
3587,7188,3598,3606
3587,7188,3601
3587,7188,3601,4162
3587,3588,3593
3587,3588,3593,4153
3587,3588,3594
3587,3588,3594,3613
3587,7188,3599
3587,7188,3599,3615
3587,3588,4157
3587,3588,4157,4158
3587,3588,4149
3587,3588,4149,4150
3587,'4213'
3587,4213,4214
3587,4213,4215
3587,4213,4215,4229
3587,4213,4219
3587,4213,4224
3587,4213,4228
3587,'4260'
3587,4260,4261
3587,4260,4264
3587,4260,4265
3587,4260,4265,4281
3587,4260,4266
3587,4260,4266,4283
3587,4260,4270
3587,4260,4270,4289
3587,4260,4264,4279
3587,4260,4261,4276
3587,'3834'
3587,3834,5729
3587,3834,5729,5738
3587,3834,5733
3587,3834,5733,5734
3587,3834,5729,5738
3587,3834,5745,5740
3587,'3634'
3587,3634,3639,5700
3587,3634,5701
3587,3634,5701,5705
3587,3634,5706
3587,3634,5706,5707
3587,3634,5710
3587,3634,5710,5712
3587,3634,3637
3587,3634,5715
3587,3634,5715,5721
3587,3634,3639,5726
3587,3654,5675
3587,3654,5675,5676
3587,'3667'
3587,3667,4190
3587,3667,3671
3587,3667,4184
3587,3667,4170
3587,3667,4170,4169
3587,3667,4184,4187
3587,3667,3671,4189
3587,3667,4190,4191
3587,'4196'
3587,4196,4199
3587,4196,4200
3587,4196,4201
3587,4196,4202
3587,4196,4203
3587,4196,4203,4209
3587,4196,4202,4212
3587,4196,4201,4208
3587,4196,4199,4206
3587,4196,4200,4207
1980,1981
1980,1981,1995
1980,1981,2151
1980,1981,2165
1980,1981,2166
1980,1981,2164
1980,1981,2167
1980,1981,1995,2004
1980,1981,2151,2232
1980,1981,2165,2223
1980,1981,2166,2224
1980,1982
1980,1982,2001
1980,1982,2001,2048
1980,1982,2001,2049
1980,1982,2001,2051
1980,1982,2158
1980,1982,2158,2231
1980,1982,2158,2229
1980,1982,2160
1980,1982,2174
1980,1982,2174,2263
1980,1981,2164,2284
1980,1981,2167,2255
1980,1983
987,988,1012
987,988,1016
987,988,1016,1110
987,988,1012,1118
987,988,1010,1117
987,989
987,989,1004
987,989,1007
987,989,1005
987,989,1008
987,989,1006
987,989,1006,1063
987,989,1008,1082
987,989,1005,1080
987,989,1007,1084
987,989,1004,1083
987,990
987,990,1023
987,990,1017
987,990,1026
987,990,1018
987,990,1019
987,990,1020
987,990,1021
987,990,1022
987,990,1024
987,990,1023,1101
987,990,1017,1097
987,990,1026,1126
987,990,1018,1081
987,990,1020,1070
987,990,1022,1113
987,990,1021,1105
987,990,1019,1096
987,991
987,991,1050
987,991,1046
987,991,1047
987,991,1048
987,991,1049
987,991,1050,1129
987,991,1046,1125
987,991,1047,1150
987,991,1048,1121
987,991,1049,1122
987,993
987,993,1030
987,993,1029
987,993,1031
987,993,1039
987,993,1032
987,993,1038
987,993,1038,1124
987,993,1032,1127
987,993,1039,1104
987,993,1031,1119
987,993,1031,1120
987,993,1029,1151
987,993,1030,1109
987,994
987,994,1034
987,994,1035
987,994,1036
987,994,1034,1106
987,994,1036,1123
987,994,1035,1148
987,999
987,999,1053
987,999,1054
987,999,1055
987,999,1056
987,999,1057
987,999,1058
987,999,1058,1168
987,999,1056,1169
987,999,1057,1165
987,999,1055,1163
987,999,1053,1166
987,1002
987,1002,1074
987,1002,1075
987,1002,1076
987,1002,1092
987,1002,1091
987,1002,1093
987,1002,1079
987,1002,1079,1191
987,1002,1091,1186
987,1002,1093,1194
987,1002,1092,1177
987,1002,1076,1183
987,1002,1075,1167
987,1002,1074,1179
987,1003
987,1003,1065
987,1003,1066
987,1003,1068
987,1003,1064
987,1003,1069
987,1003,1069,1170
987,1003,1064,1180
987,1003,1068,1190
987,1003,1066,1188
987,1003,1065,1178
651,'652'
651,652,668
651,652,668,781
651,652,670
651,652,671
651,652,671,785
651,652,670,782
651,'654'
651,654,683
651,654,684
651,654,685
651,654,687
651,654,6452
651,654,6452,813
651,654,687,846
651,654,685,790
651,654,684,814
651,654,683,786
651,'655'
651,655,694
651,655,693
651,655,695
651,655,698
651,655,699
651,655,701
651,655,700
651,655,7088
651,655,693,789
651,655,7088,875
651,655,700,860
651,655,701,868
651,655,698,849
651,655,695,847
651,655,694,833
651,'658'
651,658,719
651,658,726
651,658,726,890
651,658,719,903
651,659
651,659,707
651,659,709
651,659,708
651,659,707,851
651,659,709,856
651,659,708,864
651,'661'
651,661,739
651,661,731
651,661,732
651,661,734
651,661,735
651,661,738
651,661,733
651,661,733,901
651,661,738,927
651,661,735,918
651,661,734,916
651,661,731,891
651,661,732,884
651,661,739,925
651,662
651,652,743
651,662,742
651,662,740
651,662,741
651,652,743,885
651,662,742,907
651,662,7191,905
651,662,740,900
651,662,741,908
651,'664'
651,664,759
651,664,756
651,664,776
651,664,777
651,664,761
651,664,763
651,664,765
651,664,766
651,664,767
651,664,768
651,664,768,967
651,664,767,973
651,664,766,971
651,664,765,946
651,664,763,970
651,664,761,944
651,664,777,974
651,664,776,972
651,664,756,953
651,664,759,969
651,'665'
651,665,745
651,665,744
651,665,746
651,665,748
651,665,747
651,665,750
651,665,750,949
651,665,747,931
651,665,748,933
651,665,746,930
651,665,744,929
651,665,745,928
651,4035,783
1980,1983,2007
1980,1983,2013
1980,1983,2011
1980,1983,2017
1980,1983,2018
1980,1983,2018,2118
1980,1983,2017,2129
1980,1983,2011,2091
1980,1983,2013,2095
1980,1983,2007,2065
1980,1984
1980,1984,2030
1980,1984,2031
1980,1984,2032
1980,1984,2033
1980,1984,2034
1980,1984,2035
1980,1984,2030,2106
1980,1984,2031,2131
1980,1984,7089,2132
1980,1984,7089,2139
1980,1984,2032,2148
1980,1984,2033,2130
1980,1984,2034,2145
1980,1984,2035,2143
1980,1988
1980,1988,2000
1980,1988,1998
1980,1988,2171
1980,1988,2171,2265
1980,1988,2171,2268
1980,1988,1998,2037
1980,1988,2000,2046
1980,1992
1980,1992,2163
1980,1992,2177
1980,1992,2180
1980,1992,2183
1980,1992,2178
1980,1992,2183,2257
1980,1992,2180,2227
1980,1992,2177,2278
1980,1992,2163,2280
1980,1992,2178,2064
1980,1990
1980,1990,2005
1980,1990,2182
1980,1990,2006
1980,1990,2005,2092
1980,1990,2005,2093
1980,1990,2182,2253
1980,1990,2182,2254
1980,1990,2006,2055
1980,1990,2006,2062
987,995
987,7314,1042
987,995,1045
987,995,1043
987,995,1044
987,995,1040
987,995,1041
987,995,1045,1152
987,995,1043,1145
987,995,1044,1133
987,995,1044,1140
987,995,1044,1134
987,995,1044,1133,1182
987,995,1040,1087
987,995,1040,1087,1174
987,995,1041,1132
1980,1985
1980,1985,2019
1980,1985,2019,2073
1980,1985,2021
1980,1985,2021,2082
1980,1985,2022
1980,1985,2022,2119
1980,1985,2023
1980,1985,2023,2102
1980,1985,2024
1980,1985,2024,2112
1980,1985,2024,2115
1980,1985,2024,2113
1980,1985,2026
1980,1985,2025
1980,1985,2027
1980,1985,2028
1980,1985,2029
1980,1985,2026,2125
1980,1985,2025,2110
1980,1985,2027,2121
1980,1985,2029,2069
651,'653'
651,653,673
651,653,673,769
651,653,676
651,653,676,800
651,653,672
651,653,672,774
651,653,677
651,653,677,796
651,653,674
651,653,674,834
651,653,674,845
651,653,678
651,653,678,820
651,653,7325,828
651,653,679
651,653,679,837
651,653,675
651,653,675,809
651,653,675,810
651,653,680
651,653,680,843
3587,'5747'
3587,5747,5748
3587,5747,5748,5766
3587,5747,5749
3587,5747,5749,5758
3587,5747,5750
3587,5747,5750,5770
3587,5747,5751
3587,5747,5751,5784
3587,5747,5755
3587,5747,5755,5786
3587,5747,5755,5788
3587,5747,5752
3587,5747,5752,5773
3587,5747,5753
3587,5747,5753,5782
3587,5747,5754
3587,5747,5756
3587,5747,5757
3587,5747,5754,5789
3587,5747,5754,5790
3587,5747,5756,5795
3587,5747,5757,5796
651,'657'
651,657,706
651,657,706,792
651,657,706,799
651,657,705
651,657,705,817
651,657,705,818
651,657,705,815
181,189,246,412
181,189,246,355
181,185,245,400
181,191,228,310
987,1002,1077
987,1002,1077,1192
511,518,528,603
511,515
511,518
511,516
511,513
511,515
511,518
511,513
511,516
511,515
511,516
511,518
511,513
511,515,534
511,515,533
511,515,538
511,515,539
511,515,537
511,518,530
511,518,526
511,518,527
511,518,525
511,518,532
511,518,528
511,518,529
511,518,531
511,518,530
511,518,526
511,518,525
511,518,527
511,518,528
511,518,532
511,518,529
511,518,531
511,516,522
511,516,523
511,515,538
511,516,524
511,515,534
511,515,539
511,515,533
511,515,537
511,513,520
511,513,519
511,513,521
511,518,530
511,518,526
511,518,525
511,518,527
511,518,532
511,518,528
511,518,531
511,518,529
511,513,521
511,513,519
511,513,520
511,515,534,600
511,516,523
511,516,524
511,518,528,608
511,518,528,604
511,516,522
511,518,528,606
511,518,528,603
511,518,528,604
511,518,528,608
511,518,528,605
511,518,528,606
511,518,528,602
511,518,528,603
511,518,528,605
511,518,528,602
511,515,538,635
511,515,538,637
511,515,538,638
511,515,538,634
511,515,538,636
511,515,538,633
511,515,533
511,515,538
511,515,538,632
511,515,534
511,518,525,572
511,518,525,574
511,515,539
511,518,525,573
511,518,525,576
511,515,537
511,518,525,571
511,513,521
511,513,520
511,513,519
511,516,522
511,516,523
511,516,524
511,516,524,592
511,516,524,597
511,516,524,596
511,516,524,598
511,516,524,594
511,516,524,595
511,516,524,607
511,516,7092,591
511,516,523,590
511,516,524,599
511,515,539,626
511,515,539,642
511,515,533,631
511,515,539,629
511,515,539,627
511,515,539,630
511,515,539,641
511,516,524,593
511,518,526,581
511,518,526,583
511,518,526,582
511,518,526,588
511,518,526,589
511,518,526,624
511,518,526,623
511,518,530,625
511,518,526,587
511,518,526,577
511,518,526,586
511,518,7081,584
511,515,533,640
511,515,533,639
511,513,520,542
511,513,7086,541
511,513,7085,540
511,518,526,580
511,518,526,578
511,518,526,587
511,518,526,588
511,518,526,589
511,518,526,578
511,518,526,580
511,518,7081,584
511,518,526,586
511,518,526,577
511,518,526,583
511,518,526,582
511,518,526,581
511,515,539,626
511,515,533,631
511,515,539,627
511,515,539,630
511,515,539,641
511,518,529,611
511,515,539,629
511,515,539,642
511,518,529,610
511,516,522,562
511,516,522,550
511,516,522,552
511,516,522,560
511,516,522,556
511,516,522,551
511,516,522,565
511,516,522,561
511,516,522,549
511,516,522,553
511,516,522,558
511,516,522,559
511,516,522,557
511,516,522,555
511,516,522,554
511,516,522,563
511,518,527,616
511,518,527,614
511,518,527,612
511,518,527,619
511,518,527,613
511,518,527,615
511,518,532,644
511,518,532,643
511,518,527,612
511,518,527,613
511,518,527,619
511,518,527,614
511,518,527,616
511,518,525,571
511,513,7082,546
511,513,7083,545
511,513,7084,548
511,518,527,615
511,518,525,572
511,518,525,574
511,518,525,573
511,518,525,576
511,515,537,609
511,513,519,543
511,513,519,544
511,518,532,644
511,518,532,643
511,518,532,644
511,515,534,600
511,518,532,643
511,518,526,587
511,518,526,581
511,518,526,583
511,518,526,578
511,518,526,580
511,518,7081,584
511,518,526,577
511,518,526,582
511,518,526,588
511,518,526,589
511,513,521,568
511,513,521,569
511,513,521,567
511,515,537,609
511,518,526,586
511,513,521,570
511,518,526,623
511,518,530,625
511,518,526,624
511,518,525,576
511,518,525,572
511,518,525,574
511,518,525,573
511,518,525,571
511,518,531,622
511,513,7082,546
511,515,538,632
511,513,7083,545
511,513,7084,548
511,515,538,635
511,515,538,637
511,513,519,543
511,515,538,636
511,513,519,544
511,515,538,638
511,515,538,634
511,515,538,633
511,518,528,604
511,518,528,608
511,518,528,605
511,518,528,602
511,518,528,606
511,518,528,603
511,518,529,611
511,518,529,610
511,515,533,640
511,515,533,639
511,513,7085,540
511,513,520,542
511,513,7086,541
511,513,521,568
511,513,521,570
511,513,521,569
511,513,521,567
511,518,531,622
511,516,523,590
511,516,7092,591
511,518,531,622
511,516,524,597
511,516,524,599
511,516,524,592
511,516,524,595
511,516,524,596
511,516,524,598
511,516,524,594
511,516,524,593
511,518,527,614
511,518,527,612
511,518,527,619
511,516,524,607
511,518,527,616
511,518,527,613
511,518,527,615
511,518,529,610
511,518,529,611
511,516,522,550
511,516,522,563
511,516,522,557
511,516,522,562
511,516,522,565
511,516,522,549
511,516,522,558
511,516,522,555
511,516,522,552
511,516,522,551
511,516,522,553
511,516,522,554
511,516,522,556
511,516,522,560
511,516,522,561
511,518,526,624
511,518,530,625
511,518,526,623
511,516,522,559
511,515,533,640
511,515,533,639
511,516,522,565
511,516,522,556
511,516,522,560
511,516,522,549
511,516,522,550
511,516,522,552
511,516,522,551
511,516,522,563
511,516,522,554
511,516,522,562
511,516,522,561
511,516,522,553
511,516,522,559
511,516,522,557
511,516,522,558
511,516,522,555
511,515,537,609
511,513,7082,546
511,513,7083,545
511,513,7084,548
511,513,519,543
511,513,519,544
511,513,7085,540
511,516,523,590
511,516,7092,591
511,516,524,593
511,513,7086,541
511,516,524,599
511,513,520,542
511,516,524,592
511,516,524,597
511,516,524,598
511,516,524,596
511,516,524,595
511,516,524,594
511,515,534,600
511,513,521,570
511,516,524,607
511,513,521,568
511,513,521,569
511,513,521,567
511,515,538,637
511,515,538,632
511,515,538,633
511,515,538,634
511,515,538,635
511,515,538,638
511,515,538,636
511,515,533,631
511,515,539,626
511,515,539,629
511,515,539,642
511,515,539,627
511,515,539,630
511,515,539,641
181,187
181,189
181,188
181,191
181,'183'
181,185
181,187
181,189
181,191
181,'183'
181,187
181,188
181,'183'
181,191
181,185
181,189
181,185
181,187
181,189
181,188
181,'183'
181,185
181,'183'
181,191
181,187
181,189
181,188
181,191
181,185
181,187
181,189
181,191
181,185
181,'183'
181,187
181,189
181,188
181,187
181,191
181,189
181,191
181,185
181,'183'
181,187,216
181,187,215
181,187,216
181,187,217
181,187,215
181,191,234
181,191,235
181,191,228
181,191,227
181,187,216
181,187,216
181,188,224
181,188,219
181,188,222
181,188,220
181,183,230
181,183,243
181,183,240
181,183,233
181,183,229
181,183,241
181,183,239
181,183,231
181,183,236
181,183,237
181,183,242
181,183,230
181,183,232
181,183,238
181,183,232
181,183,241
181,183,233
181,183,240
181,183,243
181,183,231
181,183,239
181,183,238
181,183,236
181,183,237
181,183,242
181,191,234
181,191,228
181,191,227
181,191,235
181,183,230
181,183,229
181,183,243
181,183,231
181,183,239
181,183,238
181,183,236
181,183,237
181,183,242
181,183,229
181,183,232
181,183,241
181,183,233
181,183,240
181,187,216
181,183,233
181,183,240
181,183,243
181,183,231
181,183,239
181,183,238
181,183,236
181,183,237
181,183,242
181,187,216
181,187,216
181,187,217
181,187,215
181,183,230
181,183,232
181,183,229
181,183,241
181,189,246
181,189,252
181,189,247
181,189,246
181,189,247
181,189,252
181,189,248
181,189,249
181,189,248
181,189,249
181,191,228
181,191,227
181,191,235
181,185,244
181,185,245
181,188,219
181,188,220
181,188,222
181,188,224
181,189,246
181,189,252
181,189,247
181,189,248
181,185,253
181,188,219
181,188,220
181,188,222
181,188,224
181,189,246
181,189,252
181,189,247
181,189,248
181,189,249
181,185,253
181,185,244
181,185,245
181,191,234
181,191,228
181,191,227
181,191,235
181,183,230
181,183,229
181,183,232
181,189,249
181,185,253
181,185,244
181,185,245
181,183,240
181,183,243
181,183,231
181,183,239
181,183,238
181,183,236
181,183,237
181,183,242
181,183,241
181,183,233
181,185,253
181,185,244
181,185,245
181,189,246
181,189,252
181,189,247
181,189,248
181,189,249
181,189,249
181,185,253
181,185,244
181,185,245
181,189,252
181,189,246
181,189,247
181,189,248
181,185,244
181,185,245
181,185,253
181,188,219
181,188,220
181,188,222
181,188,224
181,191,234
181,191,228
181,191,227
181,191,235
181,183,230
181,183,229
181,183,232
181,183,240
181,183,241
181,183,233
181,183,243
181,183,239
181,183,238
181,183,231
181,183,236
181,183,237
181,187,216
181,183,242
181,187,215
181,183,230
181,183,229
181,183,232
181,183,241
181,183,233
181,183,240
181,183,238
181,183,236
181,183,243
181,183,231
181,183,239
181,188,220
181,188,222
181,188,224
181,185,253
181,185,244
181,185,245
181,189,246
181,189,252
181,189,247
181,189,248
181,189,249
181,183,237
181,183,242
181,188,219
181,191,228
181,191,227
181,191,235
181,191,228
181,191,227
181,191,235
181,187,7015,273
181,187,7014,271
181,187,7016,275
181,187,7017,274
181,191,228
181,191,227
181,191,235
181,189,246
181,189,252
181,189,247
181,189,249
181,189,248
181,187,7015,273
181,187,7014,271
181,187,7016,275
181,187,7017,274
181,191,7038,339
181,191,7043,334
181,191,7034,324
181,191,7032,331
181,191,7036,335
181,191,7039,323
181,191,7041,337
181,191,7041,338
181,187,216,270
181,187,216,269
181,187,216,268
181,187,7020,295
181,187,7018,294
181,187,7021,296
181,187,7017,293
181,191,235,376
181,187,7020,295
181,187,7018,294
181,187,7021,296
181,187,216,268
181,187,216,269
181,187,216,270
181,191,228,301
181,191,228,300
181,191,228,307
181,191,228,306
181,187,7017,293
181,191,7042,314
181,191,7037,308
181,191,228,313
181,191,228,310
181,187,7014,271
181,187,7017,274
181,187,216,270
181,187,7016,275
181,187,7015,273
181,187,7014,271
181,187,7016,275
181,187,7017,274
181,187,7015,273
181,187,216,269
181,187,216,268
181,187,7020,295
181,187,7018,294
181,187,7021,296
181,187,7017,293
181,187,7020,295
181,187,7021,296
181,188,220,311
181,187,7017,293
181,187,216,270
181,187,216,269
181,187,216,268
181,187,7018,294
181,188,224,375
181,183,230,429
181,183,240,316
181,191,235,376
181,183,236,368
181,183,240,316
181,183,243,430
181,183,239,326
181,187,7015,273
181,187,7016,275
181,187,216,268
181,183,239,326
181,187,216,270
181,183,243,430
181,187,216,269
181,187,7017,274
181,191,228,313
181,191,228,300
181,191,228,301
181,191,228,306
181,187,7021,296
181,191,228,307
181,187,7014,271
181,191,228,310
181,191,7042,314
181,187,7020,295
181,187,216,270
181,187,7015,273
181,187,7014,271
181,187,7016,275
181,187,7017,274
181,187,216,268
181,187,7017,293
181,183,236,368
181,187,7018,294
181,191,7037,308
181,183,240,316
181,187,216,269
181,183,241,417
181,183,243,430
181,189,247,378
181,189,247,377
181,187,216,268
181,187,216,270
181,187,216,269
181,183,229,428
181,187,7020,295
181,187,7018,294
181,183,230,429
181,187,7021,296
181,187,7017,293
181,187,7015,273
181,183,241,417
181,187,7014,271
181,187,7016,275
181,183,233,372
181,183,231,389
181,187,7017,274
181,191,7034,324
181,188,222,365
181,183,230,429
181,191,7038,339
181,191,7043,334
181,191,7032,331
181,191,7041,337
181,191,7036,335
181,191,7039,323
181,191,7041,338
181,183,238,309
181,183,239,326
181,183,232,422
181,183,238,309
181,183,242,426
181,188,219,367
181,183,242,426
181,191,235,376
181,183,242,426
181,183,231,389
181,183,233,372
181,183,239,326
181,187,7021,296
181,189,246,415
181,189,246,419
181,189,252,436
181,189,252,435
181,189,246,412
181,183,229,428
181,183,233,372
181,187,7018,294
181,187,7020,295
181,183,243,430
181,187,7017,293
181,189,7027,413
181,183,232,422
181,183,229,428
181,189,246,370
181,189,246,359
181,189,246,357
181,189,246,360
181,189,7024,347
181,189,246,351
181,189,246,354
181,189,246,350
181,189,246,349
181,183,236,368
181,189,246,355
181,189,246,358
181,189,247,378
181,189,246,361
181,189,7025,362
181,189,246,371
181,189,247,377
181,183,237,411
181,189,246,364
181,189,246,348
181,189,246,353
181,189,246,356
181,183,241,417
181,183,237,411
181,183,237,411
181,183,242,426
181,189,252,435
181,189,248,374
181,189,252,436
181,183,236,368
181,183,230,429
181,189,7028,383
181,189,249,386
181,189,249,385
181,189,249,382
181,189,249,381
181,183,229,428
181,189,246,348
181,189,246,364
181,189,246,370
181,189,246,356
181,189,7025,362
181,189,7024,347
181,189,246,360
181,189,246,359
181,189,246,371
181,189,246,357
181,183,233,372
181,183,231,389
181,183,238,309
181,189,246,358
181,183,231,389
181,189,249,388
181,189,249,384
181,189,246,351
181,189,246,353
181,189,246,350
181,189,246,349
181,189,246,354
181,189,246,361
181,183,241,417
181,183,237,411
181,189,7028,383
181,189,249,382
181,189,249,385
181,189,249,384
181,189,249,388
181,189,249,381
181,189,249,386
181,183,232,422
181,183,238,309
181,189,246,355
181,189,246,415
181,189,246,412
181,189,248,374
181,189,246,419
181,189,7027,413
181,183,232,422
181,183,240,316
181,191,7034,324
181,191,7043,334
181,191,7038,339
181,191,7039,323
181,191,7041,337
181,191,7041,338
181,191,7032,331
181,191,7036,335
181,189,252,435
181,189,246,415
181,189,246,412
181,189,7027,413
181,185,253,344
181,185,253,346
181,185,253,345
181,189,246,348
181,189,246,371
181,189,246,350
181,189,7024,347
181,189,246,351
181,189,246,353
181,189,246,354
181,189,246,358
181,189,7025,362
181,189,246,370
181,189,246,357
181,189,246,360
181,189,246,355
181,189,246,349
181,189,246,361
181,189,248,374
181,189,246,359
181,189,246,356
181,189,246,419
181,189,252,436
181,189,246,364
181,191,7037,308
181,191,228,306
181,191,228,313
181,191,228,301
181,191,228,300
181,191,228,307
181,191,7042,314
181,191,228,310
181,185,244,404
181,185,244,410
181,185,244,390
181,185,244,397
181,185,244,391
181,185,244,395
181,185,244,409
181,185,244,402
181,185,244,406
181,185,245,394
181,185,244,408
181,185,245,399
181,185,244,401
181,185,245,396
181,185,244,393
181,185,245,400
181,185,245,405
181,185,245,403
181,188,219,367
181,185,253,345
181,185,253,344
181,188,220,311
181,185,244,390
181,185,244,391
181,185,244,398
181,185,253,346
181,191,228,310
181,188,219,367
181,191,228,306
181,191,7042,314
181,185,244,409
181,185,245,394
181,185,245,399
181,185,244,395
181,185,244,401
181,185,244,406
181,185,244,410
181,185,244,402
181,191,228,313
181,191,228,307
181,191,228,301
181,185,244,397
181,191,228,300
181,185,244,408
181,185,244,404
181,191,7037,308
181,185,245,396
181,185,244,398
181,185,245,405
181,185,245,403
181,185,244,393
181,188,220,311
181,189,246,371
181,189,7024,347
181,189,246,348
181,189,7025,362
181,189,246,360
181,189,246,356
181,189,246,370
